ms_uri_1,ms_uri_2
https://minmod.isi.edu/resource/site__john-gomes-property__mrdata-usgs-gov-mrds__10047314,https://minmod.isi.edu/resource/site__john-gomes-property__mrdata-usgs-gov-mrds__10047314
https://minmod.isi.edu/resource/site__unnamed-sample-locality-nearby-trench__mrdata-usgs-gov-mrds__10026478,https://minmod.isi.edu/resource/site__unnamed-sample-locality-nearby-trench__mrdata-usgs-gov-mrds__10026478
https://minmod.isi.edu/resource/site__analumay__mrdata-usgs-gov-laterite__71,https://minmod.isi.edu/resource/site__analumay__mrdata-usgs-gov-laterite__71
https://minmod.isi.edu/resource/site__coors-602__mrdata-usgs-gov-mrds__10056245,https://minmod.isi.edu/resource/site__coors-602__mrdata-usgs-gov-mrds__10056245
https://minmod.isi.edu/resource/site__unknown-iron-pb-ni-cu-co__mrdata-usgs-gov-mrds__10147940,https://minmod.isi.edu/resource/site__unknown-iron-pb-ni-cu-co__mrdata-usgs-gov-mrds__10147940
https://minmod.isi.edu/resource/site__unknown-lead-cobalt-nickel-copper__mrdata-usgs-gov-mrds__10221071,https://minmod.isi.edu/resource/site__unknown-iron-pb-ni-cu-co__mrdata-usgs-gov-mrds__10147940
https://minmod.isi.edu/resource/site__minnamax-cu-ni-prospect__mrdata-usgs-gov-mrds__10039042,https://minmod.isi.edu/resource/site__minnamax-cu-ni-prospect__mrdata-usgs-gov-mrds__10039042
https://minmod.isi.edu/resource/site__indian-point-tourmaline-quartz-group__mrdata-usgs-gov-mrds__10093486,https://minmod.isi.edu/resource/site__indian-point-tourmaline-quartz-group__mrdata-usgs-gov-mrds__10093486
https://minmod.isi.edu/resource/site__unnamed-south-of-tidal-inlet__doi-org-10-5066-p96mmrfd__mf062,https://minmod.isi.edu/resource/site__unnamed-south-of-tidal-inlet__doi-org-10-5066-p96mmrfd__mf062
https://minmod.isi.edu/resource/site__namie-new-caledonia__mrdata-usgs-gov-mrds__10096541,https://minmod.isi.edu/resource/site__namie-new-caledonia__mrdata-usgs-gov-mrds__10096541
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__siphumelele-3,https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__siphumelele-3
