source_id,record_id,GroupID
MRDS,10000032,1020
MRDS,10000117,868
MRDS,10000367,1848
MRDS,10000467,1623
MRDS,10000469,327
MRDS,10000488,750
MRDS,10000500,1280
MRDS,10000502,1047
MRDS,10000685,1174
MRDS,10000733,865
MRDS,10000734,865
MRDS,10000839,249
MRDS,10000840,483
MRDS,10000841,483
MRDS,10000849,960
MRDS,10000880,1849
MRDS,10000885,473
MRDS,10000886,473
MRDS,10000889,473
MRDS,10000929,1200
MRDS,10000966,1108
MRDS,10000974,1598
MRDS,10000998,488
MRDS,10001095,1844
MRDS,10001098,698
MRDS,10001106,833
MRDS,10001107,1102
MRDS,10001129,698
MRDS,10001166,464
MRDS,10001249,573
MRDS,10001261,573
MRDS,10001262,573
MRDS,10001346,806
MRDS,10001354,923
MRDS,10001381,1435
MRDS,10001386,1709
MRDS,10001400,547
MRDS,10001637,1773
MRDS,10001641,506
MRDS,10001694,40
MRDS,10001707,58
MRDS,10002221,1172
MRDS,10002223,1323
MRDS,10002227,1323
MRDS,10002228,1323
MRDS,10002231,1072
MRDS,10002233,1072
MRDS,10002234,33
MRDS,10002236,1072
MRDS,10002238,1740
MRDS,10002245,921
MRDS,10002264,643
MRDS,10002271,1029
MRDS,10002287,1744
MRDS,10002299,230
MRDS,10002326,10
MRDS,10002327,10
MRDS,10002338,358
MRDS,10002339,358
MRDS,10002340,358
MRDS,10002377,1743
MRDS,10002386,338
MRDS,10002392,1706
MRDS,10002396,484
MRDS,10002448,1641
MRDS,10002603,807
MRDS,10002669,1337
MRDS,10002734,308
MRDS,10002780,1000
MRDS,10002888,382
MRDS,10002909,1541
MRDS,10003070,988
MRDS,10003143,1679
MRDS,10003146,1370
MRDS,10003383,1417
MRDS,10003445,1829
MRDS,10003627,353
MRDS,10003646,1192
MRDS,10003725,1031
MRDS,10004133,803
MRDS,10004407,1631
MRDS,10004749,380
MRDS,10004792,803
MRDS,10005315,204
MRDS,10005728,473
MRDS,10005840,1459
MRDS,10005842,1459
MRDS,10005843,1459
MRDS,10005975,216
MRDS,10006118,797
MRDS,10006139,428
MRDS,10006140,984
MRDS,10006143,1850
MRDS,10006248,174
MRDS,10008229,1488
MRDS,10008418,50
MRDS,10008488,748
MRDS,10008507,1851
MRDS,10009003,489
MRDS,10009016,63
MRDS,10009026,1219
MRDS,10009095,1630
MRDS,10009881,138
MRDS,10009898,486
MRDS,10009945,869
MRDS,10010078,858
MRDS,10010080,1289
MRDS,10010082,369
MRDS,10010413,1321
MRDS,10010543,1207
MRDS,10010599,1852
MRDS,10010845,867
MRDS,10010860,1396
MRDS,10010901,680
MRDS,10012715,1019
MRDS,10013296,163
MRDS,10013400,849
MRDS,10013716,363
MRDS,10013747,1286
MRDS,10013869,1752
MRDS,10014642,529
MRDS,10014643,709
MRDS,10016215,1210
MRDS,10019056,1373
MRDS,10019320,592
MRDS,10019389,535
MRDS,10021001,370
MRDS,10021394,668
MRDS,10021395,1096
MRDS,10021470,1032
MRDS,10021617,1533
MRDS,10021933,106
MRDS,10021937,1617
MRDS,10021966,1698
MRDS,10022033,855
MRDS,10022646,1047
MRDS,10022803,1853
MRDS,10023163,1854
MRDS,10023258,462
MRDS,10024387,1855
MRDS,10024459,12
MRDS,10024460,12
MRDS,10024461,1239
MRDS,10024462,1243
MRDS,10024463,1243
MRDS,10024464,8
MRDS,10024465,891
MRDS,10024466,1558
MRDS,10024467,157
MRDS,10024468,998
MRDS,10024469,157
MRDS,10024470,998
MRDS,10024471,6
MRDS,10024472,157
MRDS,10024473,553
MRDS,10024474,1322
MRDS,10024475,61
MRDS,10024476,354
MRDS,10024477,91
MRDS,10024478,80
MRDS,10024479,1232
MRDS,10024480,1140
MRDS,10024481,1264
MRDS,10024482,1232
MRDS,10024494,887
MRDS,10024495,1150
MRDS,10024496,1595
MRDS,10024498,1842
MRDS,10024501,120
MRDS,10024502,1378
MRDS,10024504,389
MRDS,10024505,1799
MRDS,10024508,731
MRDS,10024509,1366
MRDS,10024510,7
MRDS,10024511,1699
MRDS,10024513,725
MRDS,10024514,408
MRDS,10024515,463
MRDS,10024518,1724
MRDS,10024520,1727
MRDS,10024522,602
MRDS,10024523,137
MRDS,10024526,1532
MRDS,10024527,1795
MRDS,10024528,422
MRDS,10024529,638
MRDS,10024530,1196
MRDS,10024533,1801
MRDS,10024534,705
MRDS,10024535,1110
MRDS,10024536,1354
MRDS,10024538,118
MRDS,10024569,1856
MRDS,10024570,784
MRDS,10024571,1166
MRDS,10024572,12
MRDS,10024573,12
MRDS,10024574,1239
MRDS,10024575,1243
MRDS,10024576,8
MRDS,10024577,601
MRDS,10024578,1243
MRDS,10024579,998
MRDS,10024580,1322
MRDS,10024581,998
MRDS,10024582,6
MRDS,10024583,1558
MRDS,10024584,891
MRDS,10024585,157
MRDS,10024586,354
MRDS,10024587,80
MRDS,10024588,61
MRDS,10024589,157
MRDS,10024590,91
MRDS,10024591,998
MRDS,10024592,157
MRDS,10024593,553
MRDS,10024594,1232
MRDS,10024595,1140
MRDS,10024860,1183
MRDS,10024864,1083
MRDS,10024917,438
MRDS,10024923,556
MRDS,10024989,757
MRDS,10024993,1183
MRDS,10025781,1601
MRDS,10025903,1035
MRDS,10025906,1509
MRDS,10025907,32
MRDS,10026473,808
MRDS,10026478,808
MRDS,10026486,1217
MRDS,10027053,1857
MRDS,10027541,1782
MRDS,10032111,243
MRDS,10033073,1284
MRDS,10033088,1576
MRDS,10033096,642
MRDS,10033126,802
MRDS,10033145,590
MRDS,10033242,888
MRDS,10033279,1026
MRDS,10033280,920
MRDS,10033281,662
MRDS,10033282,22
MRDS,10033283,497
MRDS,10033284,446
MRDS,10033285,446
MRDS,10033286,1803
MRDS,10033287,497
MRDS,10033288,446
MRDS,10033289,497
MRDS,10033290,1372
MRDS,10033291,1828
MRDS,10033292,1042
MRDS,10033293,1625
MRDS,10033294,940
MRDS,10033295,685
MRDS,10033296,1803
MRDS,10033297,943
MRDS,10033298,76
MRDS,10033299,471
MRDS,10033300,534
MRDS,10033301,1579
MRDS,10033302,117
MRDS,10033303,816
MRDS,10033304,1175
MRDS,10033305,950
MRDS,10033306,772
MRDS,10033307,818
MRDS,10033308,333
MRDS,10033309,1314
MRDS,10033387,950
MRDS,10033431,861
MRDS,10033757,1428
