ms_uri_1,ms_uri_2
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001637,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001637
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039280,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039280
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10286357,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10286357
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__eldorado-port-radium-tailings,https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__eldorado-port-radium-tailings
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10305807,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10305807
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__area-55,https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__area-55
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10010413,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10010413
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__pana-eastern,https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__pana-eastern
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10239436,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10239436
https://minmod.isi.edu/resource/site__10-5382-econgeo-2018-4590__1853__nkomati,https://minmod.isi.edu/resource/site__10-5382-econgeo-2018-4590__1853__nkomati
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10066762,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10066762
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__new-morning-daybreak,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10066762
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10033767,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10033767
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10232359,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10232359
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__munda,https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__munda
