source_id,record_id,GroupID
MRDS,10000028,171
MRDS,10000153,5011
MRDS,10000182,850
MRDS,10000195,2271
MRDS,10000196,4235
MRDS,10000199,862
MRDS,10000262,4314
MRDS,10000270,2060
MRDS,10000294,1886
MRDS,10000439,2340
MRDS,10000473,1265
MRDS,10000474,9
MRDS,10000475,2915
MRDS,10000501,3818
MRDS,10000503,3544
MRDS,10000516,952
MRDS,10000518,3763
MRDS,10000521,1373
MRDS,10000523,3984
MRDS,10000524,4116
MRDS,10000525,1544
MRDS,10000527,379
MRDS,10000528,694
MRDS,10000533,2008
MRDS,10000541,3984
MRDS,10000543,3178
MRDS,10000547,694
MRDS,10000548,3895
MRDS,10000554,3179
MRDS,10000555,5107
MRDS,10000573,1826
MRDS,10000597,4624
MRDS,10000609,1165
MRDS,10000617,1153
MRDS,10000631,1385
MRDS,10000633,2447
MRDS,10000646,2390
MRDS,10000652,1486
MRDS,10000654,1486
MRDS,10000698,1497
MRDS,10000874,2778
MRDS,10000880,2360
MRDS,10000899,124
MRDS,10000910,5179
MRDS,10000916,2008
MRDS,10000917,3403
MRDS,10000920,3403
MRDS,10000940,3029
MRDS,10000942,952
MRDS,10000948,952
MRDS,10000964,509
MRDS,10000976,4569
MRDS,10000987,379
MRDS,10001008,3293
MRDS,10001022,5028
MRDS,10001153,5180
MRDS,10001158,5181
MRDS,10001209,4142
MRDS,10001210,2465
MRDS,10001214,2465
MRDS,10001250,1074
MRDS,10001252,1074
MRDS,10001321,715
MRDS,10001341,5182
MRDS,10001363,3075
MRDS,10001420,4836
MRDS,10001459,4079
MRDS,10001464,673
MRDS,10001466,347
MRDS,10001469,2782
MRDS,10001470,1167
MRDS,10001481,2489
MRDS,10001489,2323
MRDS,10001491,1167
MRDS,10001493,2634
MRDS,10001494,4607
MRDS,10001497,5183
MRDS,10001498,3604
MRDS,10001500,2727
MRDS,10001502,4929
MRDS,10001507,1651
MRDS,10001511,3604
MRDS,10001517,2090
MRDS,10001520,3944
MRDS,10001532,3551
MRDS,10001534,1854
MRDS,10001535,1854
MRDS,10001539,3473
MRDS,10001543,1437
MRDS,10001546,5184
